name,price,score
H10 Universitat,306,8.5
Sixtytwo Hotel,261,9.3
NH Collection Barcelona Constanza,381,8.9
H10 Casanova,184,8.8
Acta Voraport,273,9.0
Suites Avenue,203,9.5
Hotel Actual,191,8.9
Ilunion Barcelona,363,8.5
Hotel SB Icaria Barcelona,309,8.2
Balmoral Hotel,243,8.6
NH Collection Barcelona Podium,293,9.2
Evenia Rocafort Hotel,261,8.3
Hotel Zenit Borrell,297,8.4
Park Hotel Barcelona,235,8.6
Hotel Catalonia Park Güell,199,7.6
Zt The Golden Hotel Barcelona,310,8.8
Hotel Derby,277,8.3
abba Sants hotel,171,8.6
Hotel SOFIA Barcelona in The Unbound Collection by Hyatt,189,9.2
Evenia Rossello,180,8.6
Pulitzer Barcelona,263,9.3
Motel One Barcelona-Ciutadella,233,9.4
Expo Hotel Barcelona,179,7.7
Hotel Balmes A Member Of Preferred Hotels & Resorts,167,8.7
Aparthotel Bcn Montjuic,225,8.4
Negresco Princess,211,8.7
Gallery Hotel,178,9.3
Sunotel Central,176,8.2
Nh Sants Barcelona,164,8.6
Hotel Barcelona Princess,153,8.1
Bcn Urbaness Hotels del Comte,259,8.2
The Hoxton Poblenou,258,9.0
Hotel Well and Come,182,9.4
Hotel 54 Barceloneta,334,8.3
Sercotel Rosellón,304,8.8
Hotel Ofelias,250,9.0
SM Sant Antoni,230,8.3
Hotel Zenit Barcelona,298,8.4
Hotel Brick,282,9.3
Hotel Vilamari,229,8.4
Colon Barcelona,178,9.3
Eurostars Grand Marina,227,8.4
Hotel Gran Derby Suite,188,8.7
Ilunion Auditori,206,8.2
SM Hotel Teatre Auditori,181,8.2
Hotel SB Glow,170,8.6
Hotel Casa Elliot,162,9.1
Hotel Alimara,506,8.6
Catalonia Port,456,9.0
Pol & Grace,307,8.8
The Mirror Barcelona - Adults Only,271,8.8
Hotel Constanza,191,9.0
BcnSportHostels,265,7.7
Acta City47,231,8.5
Acevi Villarroel,178,7.8
Axel Hotel Barcelona & Urban Spa - Adults Only,162,8.5
Travelodge Barcelona Poblenou,354,7.8
Hotel Sansi Barcelona,299,6.7
Ilunion Almirante,360,6.8
Holiday Inn Barcelona-sant Cugat An Ihg Hotel,337,9.2
Onix Rambla,155,8.3
U232 Hotel,137,9.2
Catalonia Atenas,291,8.1
Leonardo Royal Hotel Barcelona Fira,270,9.2
Guitart Grand Passage,219,8.1
Hotel Barcelona Universal,204,8.6
Catalonia Mikado,240,8.0
Mariano Cubi,214,8.3
Holiday Inn Express Barcelona City 22@ An Ihg Hotel,169,8.3
Hotel Olivia Balmes,212,9.6
Barceló Sants,201,9.0
Vincci Bit,344,8.9
Onix Liceo,288,8.2
ibis Styles Barcelona City Bogatell,212,8.9
Hotel Glories,182,7.9
Hotel Viladomat By Silken,262,7.8
Mare Nostrum,224,8.3
Sunotel Club Central,233,8.5
Vincci Maritimo,186,8.6
Hotel Ilunion Bel art,208,8.4
Hotel Astoria,196,9.1
Hotel Royal Passeig De Gracia,208,9.1
NH Barcelona Les Corts,164,7.6
Arenas Atiram Hotels,255,7.6
Abba Rambla Hotel,209,8.5
Ocean Drive Barcelona,179,9.2
Casa Lit by Ona Hotels,225,8.3
Intercontinental Barcelona An Ihg Hotel,223,9.1
Hotel Catalonia Plaza Catalunya,377,8.7
Hotel Catalonia Ramblas,308,8.7
Catalonia Catedral,261,9.4
Catalonia Magdalenes,220,9.6
H10 Marina Barcelona,307,8.6
Hotel ibis Barcelona Pza Glories 22,256,8.6
Hotel Ako Suites,370,9.0
Hotel 1898,326,9.4
Hilton Barcelona,194,8.6
Aparthotel Atenea Calabria,170,8.1
Hotel Jazz,183,9.3
Andante Hotel,175,9.0
Acta Atrium Palace,221,8.8
Hotel Europark,208,9.1
Catalonia Born,331,9.0
Urbany Hostel Barcelona,305,7.3
Hotel Granados 83 A Member Of Design Hotels,185,8.9
Hostal Yomo BCN Port,162,7.6
NH Collection Barcelona Gran Hotel Calderón,293,9.0
Hcc St. Moritz,189,8.8
